Distance	Collision	Overlap	GeneBase	Percentage	sample
10000	codirectional	167812	1297780	12.9306970364777	Hmo1
10000	headon	154327	1227511	12.5723516937934	Hmo1
5000	codirectional	104625	760920	13.7498028702097	Hmo1
5000	headon	101673	764476	13.2996980938578	Hmo1
2000	codirectional	57598	343317	16.7769146299193	Hmo1
2000	headon	51720	414427	12.4798818609791	Hmo1
1000	codirectional	34119	215115	15.8608186318946	Hmo1
1000	headon	27047	291796	9.26914693827194	Hmo1
500	codirectional	13147	103817	12.663629270736	Hmo1
500	headon	19078	237919	8.01869543836348	Hmo1
250	codirectional	6522	49104	13.2820136852395	Hmo1
250	headon	13915	171709	8.10382682328824	Hmo1
10000	codirectional	276446	1297780	21.3014532509362	Top2
10000	headon	305507	1227511	24.8883309396005	Top2
5000	codirectional	182984	760920	24.0477316932135	Top2
5000	headon	219567	764476	28.7212417394398	Top2
2000	codirectional	101179	343317	29.4710136695823	Top2
2000	headon	142028	414427	34.270933119705	Top2
1000	codirectional	72054	215115	33.4955721358343	Top2
1000	headon	107383	291796	36.800710085128	Top2
500	codirectional	38340	103817	36.9303678588285	Top2
500	headon	90816	237919	38.1709741550696	Top2
250	codirectional	17282	49104	35.1946888237211	Top2
250	headon	62584	171709	36.447710952833	Top2
