Distance	Collision	Overlap	GeneBase	Percentage
1000	codirectional	34119	103134	33.0822037349468
10000	codirectional	167812	605079	27.7338992098552
2000	codirectional	57598	164515	35.0107892897304
250	codirectional	6522	23751	27.4598964254137
500	codirectional	13147	43934	29.9244321026995
5000	codirectional	104625	340293	30.7455633821442
1000	headon	27047	159990	16.9054315894743
10000	headon	154327	567410	27.1984984402813
2000	headon	51720	216458	23.8937807796432
250	headon	13915	97798	14.2283073273482
500	headon	19078	131869	14.4673880896951
5000	headon	101673	385059	26.404525020841
