Distance	Collision	Overlap	GeneBase	Percentage	sample
1000	codirectional	72054	152333	47.3003223201801	Top2
10000	codirectional	276446	850981	32.485566657775	Top2
2000	codirectional	101179	252644	40.0480518041196	Top2
250	codirectional	17282	36978	46.7358970198496	Top2
500	codirectional	38340	80792	47.4551935835231	Top2
5000	codirectional	182984	516872	35.4021885495829	Top2
1000	headon	107383	215103	49.9216654346987	Top2
10000	headon	305507	786372	38.8501879517582	Top2
2000	headon	142028	303317	46.8249389252828	Top2
250	headon	62584	131191	47.7044919239887	Top2
500	headon	90816	178816	50.7874015748031	Top2
5000	headon	219567	516266	42.5298198990443	Top2
1000	codirectional	34119	103134	33.0822037349468	Hmo1
10000	codirectional	167812	605079	27.7338992098552	Hmo1
2000	codirectional	57598	164515	35.0107892897304	Hmo1
250	codirectional	6522	23751	27.4598964254137	Hmo1
500	codirectional	13147	43934	29.9244321026995	Hmo1
5000	codirectional	104625	340293	30.7455633821442	Hmo1
1000	headon	27047	159990	16.9054315894743	Hmo1
10000	headon	154327	567410	27.1984984402813	Hmo1
2000	headon	51720	216458	23.8937807796432	Hmo1
250	headon	13915	97798	14.2283073273482	Hmo1
500	headon	19078	131869	14.4673880896951	Hmo1
5000	headon	101673	385059	26.404525020841	Hmo1
