Distance	Collision	Overlap	GeneBase	Percentage
1000	codirectional	72054	152333	47.3003223201801
10000	codirectional	276446	850981	32.485566657775
2000	codirectional	101179	252644	40.0480518041196
250	codirectional	17282	36978	46.7358970198496
500	codirectional	38340	80792	47.4551935835231
5000	codirectional	182984	516872	35.4021885495829
1000	headon	107383	215103	49.9216654346987
10000	headon	305507	786372	38.8501879517582
2000	headon	142028	303317	46.8249389252828
250	headon	62584	131191	47.7044919239887
500	headon	90816	178816	50.7874015748031
5000	headon	219567	516266	42.5298198990443
