gchr	fend	sstart	tag	fgeneid	sgeneid	len1	len2	id	distance	cdis
chr7	191976	191977	Codirectional-	YGL165C	YGL164C	579	1323	p1940	1	<=250
chr14	351383	351385	Convergent	YNL147W	YNL146C-A	444	195	p4732	2	<=250
chr2	449316	449319	Convergent	YBR103W	YBR103C-A	1608	144	p316	3	<=250
chr5	226854	226857	Convergent	YER037W	YER038C	966	1395	p1556	3	<=250
chr2	209648	209652	Codirectional+	YBL008W-A	YBL008W	240	2523	p203	4	<=250
chr2	294019	294023	Codirectional-	YBR026C	YBR027C	1143	333	p239	4	<=250
chr8	167672	167676	Convergent	YHR028W-A	YHR029C	321	885	p2465	4	<=250
chr11	393140	393145	Codirectional-	YKL024C	YKL023C-A	615	228	p3441	5	<=250
chr13	337307	337312	Codirectional+	YMR032W	YMR030W-A	2010	291	p4253	5	<=250
chr2	673565	673571	Codirectional-	YBR226C	YBR227C	411	1563	p440	6	<=250
chr9	398726	398732	Codirectional+	YIR021W-A	YIR022W	213	504	p2872	6	<=250
chr16	480175	480181	Codirectional+	YPL039W	YPL038W-A	951	192	p5740	6	<=250
chr2	2899	2906	Codirectional-	YBL112C	YBL111C	318	2103	p102	7	<=250
chr8	559924	559931	Codirectional+	YHR218W	YHR218W-A	1911	318	p2676	7	<=250
chr11	315273	315280	Codirectional+	YKL067W	YKL066W	462	444	p3399	7	<=250
chr2	607140	607148	Codirectional+	YBR191W	YBR191W-A	871	75	p403	8	<=250
chr8	450806	450814	Convergent	YHR172W	YHR173C	2472	339	p2620	8	<=250
chr12	342961	342969	Codirectional-	YLR101C	YLR102C	396	798	p3731	8	<=250
chr13	69726	69734	Codirectional-	YML101C-A	YML101C	318	354	p4119	8	<=250
chr2	729724	729733	Convergent	YBR257W	YBR258C	840	429	p473	9	<=250
chr9	34077	34086	Codirectional-	YIL165C	YIL164C	360	600	p2683	9	<=250
chr16	164266	164275	Divergent	YPL205C	YPL204W	345	1485	p5579	9	<=250
chr12	440456	440466	Divergent	YLR149C-A	YLR150W	87	822	p3778	10	<=250
chr1	124295	124306	Convergent	YAL017W	YAL016C-B	4071	186	p55	11	<=250
chr3	263964	263975	Codirectional+	YCR086W	YCR087W	573	516	p656	11	<=250
chr4	1212836	1212847	Divergent	YDR366C	YDR367W	399	767	p1274	11	<=250
chr12	184162	184173	Convergent	YLR021W	YLR022C	540	753	p3653	11	<=250
chr4	491502	491514	Codirectional+	YDR024W	YDR025W	486	810	p935	12	<=250
chr11	382485	382497	Codirectional+	YKL031W	YKL030W	414	606	p3435	12	<=250
chr13	90731	90743	Divergent	YML091C	YML090W	3609	387	p4130	12	<=250
chr15	10106	10118	Codirectional+	YOL163W	YOL162W	510	648	p4959	12	<=250
chr12	550636	550649	Codirectional-	YLR202C	YLR203C	443	1311	p3841	13	<=250
chr12	1006008	1006024	Codirectional-	YLR433C	YLR434C	1662	384	p4058	16	<=250
chr14	300649	300665	Codirectional-	YNL180C	YNL179C	996	438	p4703	16	<=250
chr8	540782	540799	Codirectional+	YHR213W-A	YHR213W-B	234	300	p2666	17	<=250
chr15	651840	651857	Divergent	YOR169C	YOR170W	465	306	p5287	17	<=250
chr3	26906	26924	Convergent	YCL057W	YCL056C	2139	435	p529	18	<=250
chr5	128284	128302	Convergent	YEL015W	YEL014C	1656	306	p1504	18	<=250
chr7	142227	142245	Divergent	YGL193C	YGL192W	312	1803	p1915	18	<=250
chr10	544712	544731	Convergent	YJR057W	YJR058C	651	444	p3149	19	<=250
chr12	590541	590561	Convergent	YLR226W	YLR227C	1188	1482	p3864	20	<=250
chr12	472457	472478	Convergent	YLR156W	YLR156C-A	345	132	p3792	21	<=250
chr12	482037	482058	Convergent	YLR157W-E	YLR157C-C	165	132	p3797	21	<=250
chr12	485689	485710	Convergent	YLR159W	YLR159C-A	345	132	p3800	21	<=250
chr12	680844	680865	Convergent	YLR268W	YLR269C	645	351	p3904	21	<=250
chr12	708145	708167	Convergent	YLR285W	YLR285C-A	786	171	p3917	22	<=250
chr13	457261	457284	Convergent	YMR094W	YMR095C	1437	675	p4314	23	<=250
chr15	1079258	1079281	Divergent	YOR391C	YOR392W	714	444	p5498	23	<=250
chr4	770332	770356	Codirectional+	YDR157W	YDR158W	402	1098	p1063	24	<=250
chr4	1284044	1284068	Convergent	YDR406W-A	YDR407C	246	3870	p1315	24	<=250
chr5	400842	400866	Codirectional-	YER119C	YER119C-A	1347	372	p1647	24	<=250
chr10	470205	470229	Codirectional-	YJR023C	YJR024C	402	735	p3119	24	<=250
chr12	757612	757636	Codirectional-	YLR311C	YLR312C	348	1197	p3944	24	<=250
chr13	652887	652911	Codirectional-	YMR194C-B	YMR194C-A	294	225	p4419	24	<=250
chr14	753700	753724	Codirectional-	YNR065C	YNR066C	3351	1311	p4941	24	<=250
chr9	308575	308601	Codirectional-	YIL025C	YIL024C	375	570	p2821	26	<=250
chr16	593069	593095	Divergent	YPR016C	YPR016W-A	738	261	p5795	26	<=250
chr4	454754	454781	Codirectional+	YDR003W	YDR003W-A	633	123	p914	27	<=250
chr5	42624	42651	Divergent	YEL059C-A	YEL059W	225	309	p1457	27	<=250
chr7	954646	954673	Convergent	YGR232W	YGR233C	687	3537	p2322	27	<=250
chr10	126825	126852	Convergent	YJL156W-A	YJL156C	222	2100	p2954	27	<=250
chr4	1039699	1039727	Codirectional+	YDR290W	YDR291W	330	3234	p1196	28	<=250
chr9	200461	200489	Codirectional-	YIL086C	YIL085C	309	1554	p2763	28	<=250
chr5	86149	86178	Codirectional+	YEL034W	YEL033W	474	420	p1483	29	<=250
chr6	14763	14792	Codirectional-	YFL057C	YFL056C	459	639	p1731	29	<=250
chr11	259222	259252	Divergent	YKL096C-B	YKL096W-A	150	279	p3369	30	<=250
chr15	992833	992863	Convergent	YOR349W	YOR350C	3045	1992	p5457	30	<=250
chr12	907918	907949	Codirectional+	YLR393W	YLR394W	840	1449	p4018	31	<=250
chr8	98795	98827	Codirectional-	YHL006C	YHL005C	453	393	p2429	32	<=250
chr13	443381	443413	Convergent	YMR087W	YMR088C	855	1689	p4307	32	<=250
chr2	737736	737769	Convergent	YBR263W	YBR264C	1473	600	p479	33	<=250
chr5	327031	327064	Divergent	YER083C	YER084W	858	387	p1610	33	<=250
chr9	200119	200152	Codirectional-	YIL087C	YIL086C	474	309	p2762	33	<=250
chr4	907293	907329	Divergent	YDR220C	YDR221W	294	2109	p1128	36	<=250
chr13	811196	811232	Convergent	YMR272W-B	YMR273C	108	2748	p4501	36	<=250
chr16	420011	420047	Convergent	YPL072W	YPL071C	1500	471	p5708	36	<=250
chr16	666243	666279	Divergent	YPR053C	YPR054W	456	1167	p5828	36	<=250
chr14	137661	137698	Divergent	YNL270C	YNL269W	1722	396	p4623	37	<=250
chr4	1415171	1415209	Convergent	YDR478W	YDR479C	597	1665	p1378	38	<=250
chr7	909174	909212	Divergent	YGR204C-A	YGR205W	114	873	p2297	38	<=250
chr2	458832	458871	Codirectional+	YBR109W-A	YBR110W	225	1350	p324	39	<=250
chr8	365300	365339	Codirectional-	YHR130C	YHR131C	336	2553	p2575	39	<=250
chr15	392376	392415	Convergent	YOR032W-A	YOR033C	201	2109	p5158	39	<=250
chr8	207193	207233	Convergent	YHR049W	YHR049C-A	732	297	p2488	40	<=250
chr7	583892	583933	Codirectional-	YGR044C	YGR045C	903	363	p2138	41	<=250
chr10	156127	156168	Divergent	YJL137C	YJL136W-A	1143	84	p2971	41	<=250
chr5	194230	194272	Convergent	YER019W	YER019C-A	1434	267	p1537	42	<=250
chr7	532596	532638	Divergent	YGR024C	YGR025W	714	303	p2115	42	<=250
chr13	478258	478300	Convergent	YMR105W-A	YMR106C	195	1890	p4326	42	<=250
chr15	54552	54594	Convergent	YOL144W	YOL143C	1455	510	p4978	42	<=250
chr7	532941	532984	Codirectional+	YGR025W	YGR026W	303	837	p2116	43	<=250
chr12	66518	66561	Divergent	YLL038C	YLL037W	744	381	p3597	43	<=250
chr9	242716	242760	Convergent	YIL064W	YIL063C	774	984	p2783	44	<=250
chr7	63002	63047	Convergent	YGL232W	YGL231C	928	573	p1878	45	<=250
chr12	136299	136344	Divergent	YLL007C	YLL006W-A	1998	177	p3625	45	<=250
chr14	179348	179393	Convergent	YNL250W	YNL249C	3939	1629	p4642	45	<=250
chr15	359947	359992	Codirectional+	YOR014W	YOR015W	2274	360	p5138	45	<=250
chr16	741392	741437	Convergent	YPR106W	YPR107C	1332	627	p5875	45	<=250
chr13	391485	391531	Convergent	YMR059W	YMR060C	387	984	p4279	46	<=250
chr5	68792	68839	Codirectional-	YEL046C	YEL045C	1164	426	p1471	47	<=250
chr7	828577	828624	Codirectional+	YGR163W	YGR164W	1026	336	p2256	47	<=250
chr11	506831	506878	Convergent	YKR032W	YKR033C	315	426	p3498	47	<=250
chr13	324187	324235	Convergent	YMR025W	YMR026C	888	1200	p4246	48	<=250
chr15	378170	378218	Codirectional+	YOR024W	YOR025W	324	1344	p5149	48	<=250
chr8	487662	487711	Convergent	YHR192W	YHR193C	837	525	p2642	49	<=250
chr12	432773	432822	Convergent	YLR145W	YLR146C	606	903	p3772	49	<=250
chr13	70088	70137	Divergent	YML101C	YML100W-A	354	174	p4120	49	<=250
chr16	15355	15404	Codirectional-	YPL278C	YPL277C	303	1464	p5509	49	<=250
chr6	103932	103982	Convergent	YFL017W-A	YFL017C	234	480	p1771	50	<=250
chr8	486179	486229	Convergent	YHR190W	YHR191C	1335	402	p2640	50	<=250
chr9	40140	40190	Convergent	YIL161W	YIL160C	708	1254	p2687	50	<=250
chr11	48955	49005	Convergent	YKL207W	YKL206C	762	804	p3267	50	<=250
chr2	711539	711590	Divergent	YBR245C	YBR246W	3390	1164	p460	51	<=250
chr3	272263	272314	Convergent	YCR089W	YCR090C	4830	549	p659	51	<=250
chr10	326190	326241	Convergent	YJL059W	YJL058C	1227	1632	p3046	51	<=250
chr7	796745	796797	Convergent	YGR153W	YGR154C	654	1071	p2244	52	<=250
chr8	344268	344320	Convergent	YHR117W	YHR118C	1920	1308	p2562	52	<=250
chr14	733303	733355	Codirectional-	YNR056C	YNR057C	1686	714	p4932	52	<=250
chr16	368018	368070	Convergent	YPL096W	YPL095C	1092	1371	p5685	52	<=250
chr1	79435	79488	Convergent	YAL035W	YAL034C-B	3009	354	p37	53	<=250
chr3	62722	62775	Convergent	YCL034W	YCL033C	1065	507	p548	53	<=250
chr6	239060	239113	Convergent	YFR042W	YFR043C	603	714	p1834	53	<=250
chr15	843644	843697	Convergent	YOR278W	YOR279C	828	933	p5387	53	<=250
chr2	110539	110593	Divergent	YBL059C-A	YBL059W	415	651	p151	54	<=250
chr2	127244	127298	Codirectional+	YBL049W	YBL048W	417	312	p161	54	<=250
chr4	464996	465050	Convergent	YDR009W	YDR010C	1563	333	p920	54	<=250
chr14	42016	42070	Convergent	YNL317W	YNL316C	1398	1005	p4577	54	<=250
chr4	273597	273652	Convergent	YDL105W	YDL104C	1209	1224	p819	55	<=250
chr4	1104947	1105002	Convergent	YDR318W	YDR319C	1190	825	p1225	55	<=250
chr16	428655	428710	Convergent	YPL065W	YPL064C	729	906	p5715	55	<=250
chr15	882842	882898	Codirectional+	YOR302W	YOR303W	78	1236	p5411	56	<=250
chr4	174174	174231	Codirectional-	YDL158C	YDL157C	309	357	p767	57	<=250
chr5	229205	229262	Codirectional-	YER039C	YER039C-A	750	219	p1558	57	<=250
chr12	176744	176801	Convergent	YLR015W	YLR016C	1518	615	p3647	57	<=250
chr16	891043	891100	Convergent	YPR175W	YPR176C	2070	978	p5945	57	<=250
chr3	54882	54940	Convergent	YCL039W	YCL038C	2238	1587	p543	58	<=250
chr5	164285	164343	Convergent	YER006W	YER006C-A	1563	318	p1524	58	<=250
chr13	611255	611313	Codirectional+	YMR175W	YMR175W-A	240	195	p4397	58	<=250
chr2	391291	391350	Convergent	YBR076W	YBR076C-A	1065	267	p289	59	<=250
chr4	289512	289571	Convergent	YDL095W	YDL094C	2454	510	p828	59	<=250
chr8	209645	209704	Codirectional+	YHR050W-A	YHR051W	171	447	p2491	59	<=250
chr10	622490	622549	Convergent	YJR103W	YJR104C	1737	465	p3190	59	<=250
chr15	865593	865652	Convergent	YOR291W	YOR292C	4419	930	p5399	59	<=250
chr2	705386	705446	Convergent	YBR242W	YBR243C	717	1347	p457	60	<=250
chr4	1499335	1499395	Convergent	YDR531W	YDR532C	1104	1158	p1428	60	<=250
chr7	288451	288511	Divergent	YGL118C	YGL117W	438	798	p1984	60	<=250
chr13	496282	496342	Convergent	YMR113W	YMR114C	1284	1107	p4334	60	<=250
chr4	948456	948517	Convergent	YDR242W	YDR243C	1650	1767	p1148	61	<=250
chr8	26179	26240	Divergent	YHL037C	YHL036W	402	1641	p2396	61	<=250
chr11	280859	280920	Codirectional+	YKL084W	YKL083W	351	615	p3383	61	<=250
chr11	403518	403579	Convergent	YKL019W	YKL018C-A	951	300	p3447	61	<=250
chr1	147531	147593	Convergent	YAL002W	YAL001C	3825	3573	p69	62	<=250
chr9	190967	191029	Convergent	YIL092W	YIL091C	1902	2166	p2757	62	<=250
chr2	100307	100370	Convergent	YBL065W	YBL064C	345	786	p146	63	<=250
chr3	73341	73404	Convergent	YCL027W	YCL026C-B	1539	582	p555	63	<=250
chr6	225958	226021	Divergent	YFR034C	YFR034W-A	939	288	p1826	63	<=250
chr10	638168	638231	Convergent	YJR112W-A	YJR113C	379	744	p3200	63	<=250
chr11	578123	578186	Codirectional-	YKR072C	YKR073C	1689	321	p3535	63	<=250
chr15	939557	939620	Convergent	YOR329W-A	YOR330C	210	3765	p5439	63	<=250
chr16	86950	87013	Convergent	YPL245W	YPL244C	1365	1020	p5540	63	<=250
chr7	940804	940868	Convergent	YGR222W	YGR223C	882	1347	p2314	64	<=250
chr8	499885	499949	Convergent	YHR200W	YHR201C	807	1194	p2651	64	<=250
chr10	616286	616350	Convergent	YJR099W	YJR100C	711	984	p3186	64	<=250
chr12	136521	136585	Codirectional+	YLL006W-A	YLL006W	177	1281	p3626	64	<=250
chr12	500270	500334	Divergent	YLR168C	YLR169W	693	354	p3811	64	<=250
chr2	50953	51018	Convergent	YBL089W	YBL088C	1380	8364	p126	65	<=250
chr7	49365	49430	Convergent	YGL240W	YGL239C	753	315	p1872	65	<=250
chr7	918446	918511	Convergent	YGR212W	YGR213C	1407	954	p2305	65	<=250
chr10	293981	294046	Divergent	YJL078C	YJL077W-B	2646	99	p3028	65	<=250
chr5	124670	124736	Convergent	YEL017W	YEL016C	1014	1482	p1502	66	<=250
chr6	77988	78054	Convergent	YFL030W	YFL029C	1158	1107	p1758	66	<=250
chr7	215211	215277	Convergent	YGL155W	YGL154C	1131	819	p1950	66	<=250
chr11	223285	223351	Codirectional-	YKL115C	YKL114C	393	1104	p3350	66	<=250
chr12	346980	347046	Convergent	YLR104W	YLR105C	396	1134	p3734	66	<=250
chr15	300980	301046	Codirectional+	YOL013W-B	YOL013W-A	291	192	p5108	66	<=250
chr15	397668	397734	Codirectional-	YOR034C-A	YOR035C	243	2370	p5161	66	<=250
chr4	966489	966556	Convergent	YDR254W	YDR255C	1377	1266	p1161	67	<=250
chr4	1323386	1323453	Convergent	YDR427W	YDR428C	1182	786	p1333	67	<=250
chr5	85545	85612	Codirectional-	YEL035C	YEL034C-A	501	603	p1482	67	<=250
chr12	370723	370790	Codirectional+	YLR111W	YLR112W	333	420	p3741	67	<=250
chr12	644336	644403	Convergent	YLR253W	YLR254C	1710	570	p3887	67	<=250
chr12	706130	706197	Convergent	YLR283W	YLR284C	945	843	p3915	67	<=250
chr16	893729	893796	Convergent	YPR178W	YPR179C	1398	1968	p5947	67	<=250
chr2	294356	294424	Codirectional-	YBR027C	YBR028C	333	1578	p240	68	<=250
chr4	488003	488071	Convergent	YDR021W	YDR022C	1200	591	p932	68	<=250
chr7	184084	184152	Convergent	YGL171W	YGL170C	1695	1242	p1936	68	<=250
chr16	584563	584631	Convergent	YPR012W	YPR013C	255	954	p5791	68	<=250
chr4	661103	661172	Convergent	YDR103W	YDR104C	2754	3738	p1015	69	<=250
chr7	1043749	1043818	Convergent	YGR275W	YGR276C	474	1662	p2362	69	<=250
chr15	108188	108257	Convergent	YOL112W	YOL111C	1479	639	p5009	69	<=250
chr6	231941	232011	Convergent	YFR038W	YFR039C	2562	1533	p1830	70	<=250
chr15	200297	200367	Convergent	YOL069W	YOL068C	1356	1512	p5053	70	<=250
chr15	812324	812394	Convergent	YOR258W	YOR259C	654	1314	p5369	70	<=250
chr4	1431896	1431967	Convergent	YDR489W	YDR490C	885	2301	p1389	71	<=250
chr11	212423	212494	Convergent	YKL123W	YKL122C	381	504	p3344	71	<=250
chr11	446727	446798	Convergent	YKR003W	YKR004C	1347	1238	p3470	71	<=250
chr11	523346	523417	Convergent	YKR044W	YKR045C	1332	552	p3508	71	<=250
chr4	1489798	1489870	Codirectional-	YDR524C-B	YDR524C-A	201	120	p1421	72	<=250
chr2	90531	90604	Codirectional-	YBL071C	YBL070C	309	321	p142	73	<=250
chr4	850200	850273	Convergent	YDR195W	YDR196C	1602	726	p1104	73	<=250
chr6	1363	1436	Convergent	YFL067W	YFL066C	528	1179	p1722	73	<=250
chr7	450123	450196	Convergent	YGL024W	YGL023C	336	1908	p2069	73	<=250
chr12	137866	137939	Convergent	YLL006W	YLL005C	1281	2607	p3627	73	<=250
chr14	508702	508775	Convergent	YNL063W	YNL062C	945	1437	p4816	73	<=250
chr5	553259	553333	Convergent	YER182W	YER183C	735	636	p1712	74	<=250
chr6	242999	243073	Convergent	YFR045W	YFR046C	1002	1086	p1837	74	<=250
chr12	41205	41279	Convergent	YLL049W	YLL048C	540	4986	p3588	74	<=250
chr13	437416	437490	Codirectional+	YMR084W	YMR085W	789	1299	p4304	74	<=250
chr14	222649	222723	Convergent	YNL226W	YNL225C	411	1746	p4662	74	<=250
chr1	54913	54988	Convergent	YAL047W-A	YAL047C	330	1869	p23	75	<=250
chr11	120304	120379	Convergent	YKL175W	YKL174C	1512	1857	p3296	75	<=250
chr12	280943	281018	Convergent	YLR072W	YLR073C	2082	603	p3703	75	<=250
chr16	266104	266179	Convergent	YPL152W	YPL151C	1077	1356	p5631	75	<=250
chr4	926146	926222	Codirectional+	YDR229W	YDR230W	1362	348	p1137	76	<=250
chr8	23540	23616	Convergent	YHL039W	YHL038C	1758	1893	p2394	76	<=250
chr11	237070	237146	Convergent	YKL107W	YKL106C-A	930	120	p3357	76	<=250
chr13	754220	754296	Divergent	YMR242C	YMR242W-A	996	90	p4469	76	<=250
chr16	720960	721036	Convergent	YPR094W	YPR095C	324	3681	p5864	76	<=250
chr2	666642	666719	Convergent	YBR221W-A	YBR222C	105	1632	p437	77	<=250
chr2	726540	726617	Convergent	YBR255W	YBR255C-A	2085	457	p470	77	<=250
chr13	328582	328659	Convergent	YMR028W	YMR029C	1101	1572	p4249	77	<=250
chr13	610081	610158	Convergent	YMR173W-A	YMR174C	1185	207	p4395	77	<=250
chr13	777923	778000	Divergent	YMR254C	YMR255W	309	567	p4482	77	<=250
chr2	43095	43173	Convergent	YBL097W	YBL096C	2265	309	p119	78	<=250
chr6	10222	10300	Convergent	YFL061W	YFL060C	678	669	p1727	78	<=250
chr7	261501	261579	Codirectional+	YGL133W	YGL132W	3795	336	p1970	78	<=250
chr9	372998	373076	Convergent	YIR007W	YIR008C	2295	1230	p2855	78	<=250
chr14	12129	12207	Convergent	YNL335W	YNL334C	678	669	p4561	78	<=250
chr15	678793	678871	Divergent	YOR182C	YOR183W	603	390	p5299	78	<=250
chr16	171954	172032	Convergent	YPL200W	YPL199C	471	723	p5584	78	<=250
chr16	220088	220166	Convergent	YPL175W	YPL174C	1459	2607	p5608	78	<=250
chr3	162865	162944	Codirectional-	YCR024C-B	YCR024C-A	267	123	p604	79	<=250
chr4	100421	100500	Convergent	YDL201W	YDL200C	861	567	p726	79	<=250
chr11	586709	586788	Convergent	YKR078W	YKR079C	1758	2517	p3541	79	<=250
chr1	192256	192336	Convergent	YAR035W	YAR035C-A	2064	81	p88	80	<=250
chr4	1108621	1108701	Codirectional+	YDR320W-B	YDR321W	138	1146	p1228	80	<=250
chr9	350510	350590	Convergent	YIL002W-A	YIL002C	210	2841	p2846	80	<=250
chr14	700460	700540	Convergent	YNR040W	YNR041C	771	1119	p4917	80	<=250
chr4	1233196	1233277	Convergent	YDR379W	YDR379C-A	3030	240	p1288	81	<=250
chr4	1328701	1328782	Codirectional+	YDR431W	YDR432W	312	1245	p1336	81	<=250
chr4	1470418	1470499	Convergent	YDR511W	YDR512C	402	564	p1408	81	<=250
chr7	82292	82373	Divergent	YGL221C	YGL220W	867	363	p1890	81	<=250
chr11	398750	398831	Codirectional-	YKL021C	YKL020C	1407	3249	p3445	81	<=250
chr15	880883	880964	Codirectional+	YOR300W	YOR301W	309	1308	p5409	81	<=250
chr2	185915	185997	Convergent	YBL019W	YBL018C	1563	477	p193	82	<=250
chr10	198595	198677	Codirectional+	YJL114W	YJL113W	681	4648	p2995	82	<=250
chr3	153928	154011	Convergent	YCR019W	YCR020C	1092	648	p596	83	<=250
chr4	856814	856897	Convergent	YDR201W	YDR202C	498	1056	p1109	83	<=250
