chr	start	end	width	score	Overlap	genestart	geneend	geneID	collisiontype	DistanceGroup	sample
chr1	113483	113717	234	1.69652173719292	104	113613	114615	YAL020C	codirectional	10000	Top2
chr1	128287	128399	112	1.45808680638814	112	128251	129019	YAL014C	headon	5000	Top2
chr1	128287	128399	112	1.45808680638814	112	128251	129019	YAL014C	headon	10000	Top2
chr1	131813	132413	600	2.27148830115315	170	130798	131983	YAL012W	codirectional	10000	Top2
chr1	131813	132413	600	2.27148830115315	215	132198	134076	YAL011W	codirectional	10000	Top2
chr1	136970	137519	549	1.9073484996533	540	136913	137510	YAL008W	headon	10000	Top2
chr1	138475	141161	2686	3.34026055225195	1659	139502	141431	YAL005C	codirectional	10000	Top2
chr1	138475	141161	2686	3.34026055225195	402	140759	141407	YAL004W	headon	10000	Top2
chr1	141814	144079	2265	6.18832058611035	987	142173	143160	YAL003W	headon	10000	Top2
chr1	141814	144079	2265	6.18832058611035	987	142173	143160	YAL003W	headon	5000	Top2
chr1	146206	148496	2290	5.93597314468599	903	147593	151166	YAL001C	headon	1000	Top2
chr1	146206	148496	2290	5.93597314468599	903	147593	151166	YAL001C	headon	500	Top2
chr1	146206	148496	2290	5.93597314468599	903	147593	151166	YAL001C	headon	5000	Top2
chr1	146206	148496	2290	5.93597314468599	903	147593	151166	YAL001C	headon	2000	Top2
chr1	150939	151451	512	4.60881261190824	227	147593	151166	YAL001C	headon	1000	Top2
chr1	150939	151451	512	4.60881261190824	227	147593	151166	YAL001C	headon	500	Top2
chr1	150939	151451	512	4.60881261190824	227	147593	151166	YAL001C	headon	5000	Top2
chr1	150939	151451	512	4.60881261190824	227	147593	151166	YAL001C	headon	2000	Top2
chr1	158379	160283	1904	2.93366864972621	240	156753	158619	YAR007C	codirectional	2000	Top2
chr1	158379	160283	1904	2.93366864972621	240	156753	158619	YAR007C	codirectional	5000	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	250	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	10000	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	5000	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	500	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	1000	Top2
chr1	158379	160283	1904	2.93366864972621	828	158965	159793	YAR008W	headon	2000	Top2
chr1	165730	166889	1159	3.80803489119106	136	164543	165866	YAR010C	headon	10000	Top2
chr1	165730	166889	1159	3.80803489119106	136	164543	165866	YAR010C	headon	5000	Top2
chr1	174229	178203	3974	4.85249964243877	906	172210	175135	YAR019C	codirectional	2000	Top2
chr1	174229	178203	3974	4.85249964243877	906	172210	175135	YAR019C	codirectional	5000	Top2
chr1	174229	178203	3974	4.85249964243877	906	172210	175135	YAR019C	codirectional	10000	Top2
chr1	174229	178203	3974	4.85249964243877	333	174997	175330	YAR019W-A	headon	5000	Top2
chr1	174229	178203	3974	4.85249964243877	333	174997	175330	YAR019W-A	headon	10000	Top2
chr1	174229	178203	3974	4.85249964243877	333	174997	175330	YAR019W-A	headon	2000	Top2
chr1	174229	178203	3974	4.85249964243877	333	174997	175330	YAR019W-A	headon	1000	Top2
chr1	174229	178203	3974	4.85249964243877	168	176855	177023	YAR020C	headon	5000	Top2
chr1	174229	178203	3974	4.85249964243877	168	176855	177023	YAR020C	headon	1000	Top2
chr1	174229	178203	3974	4.85249964243877	168	176855	177023	YAR020C	headon	10000	Top2
chr1	174229	178203	3974	4.85249964243877	168	176855	177023	YAR020C	headon	2000	Top2
chr1	179735	182558	2823	5.34190111144482	85	179280	179820	YAR023C	headon	10000	Top2
chr1	179735	182558	2823	5.34190111144482	85	179280	179820	YAR023C	headon	5000	Top2
chr1	184437	185059	622	2.40779656476559	40	183769	184477	YAR027W	codirectional	10000	Top2
chr1	184437	185059	622	2.40779656476559	168	184891	185596	YAR028W	codirectional	10000	Top2
chr1	2318	2846	528	2.32421864268664	228	2479	2707	YAL067W-A	codirectional	2000	Top2
chr1	2318	2846	528	2.32421864268664	228	2479	2707	YAL067W-A	codirectional	5000	Top2
chr1	2318	2846	528	2.32421864268664	228	2479	2707	YAL067W-A	codirectional	10000	Top2
chr1	74	543	469	2.79356617197946	209	334	649	YAL069W	headon	1000	Top2
chr1	74	543	469	2.79356617197946	209	334	649	YAL069W	headon	5000	Top2
chr1	74	543	469	2.79356617197946	209	334	649	YAL069W	headon	10000	Top2
chr1	74	543	469	2.79356617197946	209	334	649	YAL069W	headon	2000	Top2
chr1	74	543	469	2.79356617197946	6	537	792	YAL068W-A	headon	10000	Top2
chr1	74	543	469	2.79356617197946	6	537	792	YAL068W-A	headon	500	Top2
chr1	74	543	469	2.79356617197946	6	537	792	YAL068W-A	headon	1000	Top2
chr1	74	543	469	2.79356617197946	6	537	792	YAL068W-A	headon	5000	Top2
chr1	74	543	469	2.79356617197946	6	537	792	YAL068W-A	headon	2000	Top2
chr10	100456	102213	1757	6.54711437717454	630	101149	101779	YJL170C	headon	5000	Top2
chr10	100456	102213	1757	6.54711437717454	630	101149	101779	YJL170C	headon	10000	Top2
chr10	100456	102213	1757	6.54711437717454	630	101149	101779	YJL170C	headon	2000	Top2
chr10	100456	102213	1757	6.54711437717454	115	102098	102467	YJL169W	codirectional	5000	Top2
chr10	100456	102213	1757	6.54711437717454	115	102098	102467	YJL169W	codirectional	10000	Top2
chr10	150580	151878	1298	5.28080810391755	166	151712	152999	YJL139C	codirectional	10000	Top2
chr10	156269	156709	440	2.21397919308616	160	156549	157273	YJL136C	codirectional	5000	Top2
chr10	156269	156709	440	2.21397919308616	160	156549	157273	YJL136C	codirectional	10000	Top2
chr10	157129	157844	715	2.31930877350341	144	156549	157273	YJL136C	codirectional	5000	Top2
chr10	157129	157844	715	2.31930877350341	144	156549	157273	YJL136C	codirectional	10000	Top2
chr10	159087	162582	3495	6.94102654148032	330	158187	159417	YJL134W	headon	10000	Top2
chr10	159087	162582	3495	6.94102654148032	330	158187	159417	YJL134W	headon	5000	Top2
chr10	159087	162582	3495	6.94102654148032	225	159622	159847	YJL133C-A	codirectional	2000	Top2
chr10	159087	162582	3495	6.94102654148032	225	159622	159847	YJL133C-A	codirectional	10000	Top2
chr10	159087	162582	3495	6.94102654148032	225	159622	159847	YJL133C-A	codirectional	5000	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	5000	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	1000	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	500	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	10000	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	250	Top2
chr10	159087	162582	3495	6.94102654148032	945	160618	161563	YJL133W	headon	2000	Top2
chr10	159087	162582	3495	6.94102654148032	669	161913	164166	YJL132W	codirectional	500	Top2
