gchr	gstart	gend	gname	collision	collisiontype	DistanceGroup
chr1	120224	124295	YAL017W	headon250	headon	250
chr1	158965	159793	YAR008W	headon250	headon	250
chr10	160618	161563	YJL133W	headon250	headon	250
chr10	453682	454681	YJR009C	codirectional250	codirectional	250
chr10	63804	67569	YJL197W	headon250	headon	250
chr10	67849	68782	YJL196C	headon250	headon	250
chr10	97736	99467	YJL172W	headon250	headon	250
chr10	99703	100894	YJL171C	headon250	headon	250
chr11	153268	153706	YKL160W	codirectional250	codirectional	250
chr11	212494	212998	YKL122C	codirectional250	codirectional	250
chr11	328117	329443	YKL059C	codirectional250	codirectional	250
chr11	411618	416913	YKL014C	codirectional250	codirectional	250
chr11	53703	55602	YKL204W	headon250	headon	250
chr11	55934	63359	YKL203C	headon250	headon	250
chr12	151388	153977	YLR001C	headon250	headon	250
chr12	156854	157730	YLR003C	headon250	headon	250
chr12	511053	512940	YLR177W	headon250	headon	250
chr12	513161	513821	YLR178C	headon250	headon	250
chr12	620472	622821	YLR241W	headon250	headon	250
chr12	622917	623883	YLR242C	headon250	headon	250
chr12	644403	644973	YLR254C	codirectional250	codirectional	250
chr12	658825	659791	YLR257W	headon250	headon	250
chr12	744150	744851	YLR306W	headon250	headon	250
chr12	88622	91349	YLL026W	headon250	headon	250
chr12	947252	947978	YLR411W	headon250	headon	250
chr12	948367	949192	YLR412W	codirectional250	codirectional	250
chr13	137549	138944	YML068W	codirectional250	codirectional	250
chr13	158759	158966	YML058W-A	headon250	headon	250
chr13	30610	31684	YML119W	headon250	headon	250
chr13	534943	535570	YMR132C	codirectional250	codirectional	250
chr13	553361	554390	YMR144W	headon250	headon	250
chr13	554792	556475	YMR145C	headon250	headon	250
chr13	611015	611255	YMR175W	headon250	headon	250
chr13	647117	649280	YMR192W	headon250	headon	250
chr13	70623	73920	YML100W	headon250	headon	250
chr13	74228	74558	YML099W-A	codirectional250	codirectional	250
chr13	814363	815311	YMR274C	codirectional250	codirectional	250
chr13	815650	818581	YMR275C	headon250	headon	250
chr13	92234	94241	YML088W	headon250	headon	250
chr13	94430	95369	YML087C	headon250	headon	250
chr14	322218	323565	YNL166C	headon250	headon	250
chr14	545267	545877	YNL044W	headon250	headon	250
chr14	545588	545909	YNL043C	codirectional250	codirectional	250
chr14	606318	609453	YNL014W	headon250	headon	250
chr14	609132	609510	YNL013C	codirectional250	codirectional	250
chr14	609685	611665	YNL012W	codirectional250	codirectional	250
chr14	635942	636383	YNR004W	codirectional250	codirectional	250
chr15	114137	115808	YOL105C	headon250	headon	250
chr15	165713	166952	YOL083W	headon250	headon	250
chr15	277085	277604	YOL024W	headon250	headon	250
chr15	307937	309041	YOL010W	headon250	headon	250
chr15	309323	310139	YOL009C	headon250	headon	250
chr15	334508	337343	YOR005C	codirectional250	codirectional	250
chr15	487706	489734	YOR087W	headon250	headon	250
chr15	83833	85264	YOL125W	headon250	headon	250
chr15	85455	86757	YOL124C	headon250	headon	250
chr15	855146	860258	YOR290C	headon250	headon	250
chr15	870201	874071	YOR296W	headon250	headon	250
chr15	981811	982162	YOR345C	headon250	headon	250
chr16	289668	291051	YPL139C	headon250	headon	250
chr16	384772	386446	YPL086C	headon250	headon	250
chr16	415762	418027	YPL074W	headon250	headon	250
chr16	455758	456664	YPL054W	headon250	headon	250
chr16	511100	511664	YPL021W	headon250	headon	250
chr16	561503	563768	YPR003C	codirectional250	codirectional	250
chr16	631514	633761	YPR031W	headon250	headon	250
chr16	634122	637224	YPR032W	codirectional250	codirectional	250
chr16	682940	684353	YPR068C	codirectional250	codirectional	250
chr16	684555	685437	YPR069C	headon250	headon	250
chr16	71062	73006	YPL253C	codirectional250	codirectional	250
chr16	73362	73881	YPL252C	headon250	headon	250
chr16	818322	819075	YPR143W	headon250	headon	250
chr16	841265	842669	YPR157W	headon250	headon	250
chr2	209652	212175	YBL008W	codirectional250	codirectional	250
chr2	324340	326059	YBR044C	codirectional250	codirectional	250
chr2	484741	486691	YBR123C	codirectional250	codirectional	250
chr2	620871	622527	YBR200W	headon250	headon	250
chr2	622982	623147	YBR200W-A	codirectional250	codirectional	250
chr2	629167	631942	YBR203W	headon250	headon	250
chr2	632253	633381	YBR204C	headon250	headon	250
chr3	108020	108791	YCL005W	headon250	headon	250
chr3	109104	110670	YCL004W	codirectional250	codirectional	250
chr3	132272	133124	YCR010C	headon250	headon	250
chr3	224398	224734	YCR060W	headon250	headon	250
chr3	74703	75285	YCL026C-A	headon250	headon	250
chr4	1017000	1017318	YDR278C	headon250	headon	250
chr4	1159607	1161320	YDR343C	headon250	headon	250
chr4	122215	123589	YDL189W	headon250	headon	250
chr4	123864	124998	YDL188C	headon250	headon	250
chr4	1353724	1354633	YDR446W	codirectional250	codirectional	250
chr4	326612	329567	YDL073W	headon250	headon	250
chr4	329835	330447	YDL072C	headon250	headon	250
chr4	461841	462516	YDR007W	headon250	headon	250
chr4	482669	483860	YDR018C	codirectional250	codirectional	250
chr4	484162	485365	YDR019C	headon250	headon	250
chr4	553253	555152	YDR049W	headon250	headon	250
chr4	565926	567555	YDR057W	headon250	headon	250
chr4	567722	568703	YDR058C	headon250	headon	250
chr4	917570	921647	YDR227W	headon250	headon	250
chr4	921925	923806	YDR228C	headon250	headon	250
chr5	145906	146755	YEL005C	headon250	headon	250
chr5	191958	192624	YER018C	codirectional250	codirectional	250
chr5	192796	194230	YER019W	codirectional250	codirectional	250
chr5	212586	213177	YER029C	headon250	headon	250
chr5	263	4097	YEL077C	codirectional250	codirectional	250
chr5	298949	301616	YER070W	headon250	headon	250
chr5	301946	302327	YER071C	headon250	headon	250
chr5	4184	5114	YEL076C-A	headon250	headon	250
chr5	569607	569907	YER188C-A	headon250	headon	250
chr5	59548	59740	YEL050W-A	codirectional250	codirectional	250
chr5	90257	93905	YEL031W	headon250	headon	250
chr6	103982	104462	YFL017C	codirectional250	codirectional	250
chr6	104700	106236	YFL016C	headon250	headon	250
chr6	167887	168496	YFR012W	codirectional250	codirectional	250
chr7	163408	165091	YGL179C	headon250	headon	250
chr7	202720	203833	YGL159W	headon250	headon	250
chr7	284441	285947	YGL119W	headon250	headon	250
chr7	385195	388732	YGL062W	headon250	headon	250
chr7	388967	389711	YGL061C	headon250	headon	250
chr7	509046	511002	YGR009C	headon250	headon	250
chr7	574887	575199	YGR039W	codirectional250	codirectional	250
chr7	656959	659770	YGR089W	headon250	headon	250
chr7	833351	834482	YGR168C	codirectional250	codirectional	250
chr7	834688	835903	YGR169C	headon250	headon	250
chr8	110027	111317	YHR003C	codirectional250	codirectional	250
chr8	111753	113094	YHR004C	headon250	headon	250
chr8	297384	298609	YHR097C	headon250	headon	250
chr8	445712	447605	YHR171W	headon250	headon	250
chr8	62960	64157	YHL022C	codirectional250	codirectional	250
chr8	64461	65859	YHL021C	headon250	headon	250
chr8	95117	97937	YHL007C	headon250	headon	250
chr9	106106	113237	YIL129C	headon250	headon	250
chr9	175306	177250	YIL101C	headon250	headon	250
chr9	212498	214703	YIL078W	headon250	headon	250
chr9	214990	215953	YIL077C	headon250	headon	250
chr9	247901	248396	YIL057C	headon250	headon	250
chr9	357414	360396	YIR002C	headon250	headon	250
chr9	410806	411838	YIR029W	headon250	headon	250
chr9	412035	412770	YIR030C	headon250	headon	250
chr9	74183	75773	YIL146C	headon250	headon	250
chr1	120224	124295	YAL017W	headon500	headon	500
chr1	124754	125069	YAL016C-A	headon500	headon	500
chr1	124878	126786	YAL016W	codirectional500	codirectional	500
chr1	147593	151166	YAL001C	headon500	headon	500
chr1	158965	159793	YAR008W	headon500	headon	500
chr1	537	792	YAL068W-A	headon500	headon	500
chr10	160618	161563	YJL133W	headon500	headon	500
chr10	161913	164166	YJL132W	codirectional500	codirectional	500
chr10	375114	375774	YJL038C	headon500	headon	500
chr10	442908	444861	YJR004C	headon500	headon	500
chr10	453682	454681	YJR009C	codirectional500	codirectional	500
chr10	459794	460418	YJR012C	headon500	headon	500
chr10	609772	610741	YJR095W	codirectional500	codirectional	500
chr10	613185	615156	YJR098C	headon500	headon	500
chr10	63804	67569	YJL197W	headon500	headon	500
chr10	67849	68782	YJL196C	headon500	headon	500
chr10	678956	683285	YJR137C	codirectional500	codirectional	500
chr10	97736	99467	YJL172W	headon500	headon	500
chr10	99703	100894	YJL171C	headon500	headon	500
chr11	153268	153706	YKL160W	codirectional500	codirectional	500
chr11	212494	212998	YKL122C	codirectional500	codirectional	500
chr11	299581	301882	YKL072W	headon500	headon	500
chr11	328117	329443	YKL059C	codirectional500	codirectional	500
chr11	411618	416913	YKL014C	codirectional500	codirectional	500
chr11	53703	55602	YKL204W	headon500	headon	500
chr11	55934	63359	YKL203C	headon500	headon	500
chr11	96756	98157	YKL184W	headon500	headon	500
chr11	98720	99641	YKL183W	codirectional500	codirectional	500
chr12	151388	153977	YLR001C	headon500	headon	500
chr12	154342	156334	YLR002C	codirectional500	codirectional	500
chr12	156854	157730	YLR003C	headon500	headon	500
chr12	231701	232013	YLR043C	headon500	headon	500
chr12	371619	372927	YLR113W	headon500	headon	500
chr12	410722	412414	YLR134W	headon500	headon	500
chr12	413280	415527	YLR135W	codirectional500	codirectional	500
chr12	511053	512940	YLR177W	headon500	headon	500
chr12	513161	513821	YLR178C	headon500	headon	500
chr12	620472	622821	YLR241W	headon500	headon	500
chr12	622917	623883	YLR242C	headon500	headon	500
chr12	644403	644973	YLR254C	codirectional500	codirectional	500
chr12	645599	645953	YLR255C	headon500	headon	500
chr12	658825	659791	YLR257W	headon500	headon	500
chr12	683671	687202	YLR272C	codirectional500	codirectional	500
chr12	728954	730301	YLR300W	headon500	headon	500
chr12	730824	731559	YLR301W	codirectional500	codirectional	500
chr12	744150	744851	YLR306W	headon500	headon	500
chr12	88622	91349	YLL026W	headon500	headon	500
chr12	947252	947978	YLR411W	headon500	headon	500
chr12	948367	949192	YLR412W	codirectional500	codirectional	500
chr13	135499	137158	YML069W	headon500	headon	500
chr13	137549	138944	YML068W	codirectional500	codirectional	500
chr13	158759	158966	YML058W-A	headon500	headon	500
chr13	159382	159697	YML058W	codirectional500	codirectional	500
chr13	261704	262685	YML004C	codirectional500	codirectional	500
chr13	263482	264355	YML003W	codirectional500	codirectional	500
chr13	30610	31684	YML119W	headon500	headon	500
chr13	534943	535570	YMR132C	codirectional500	codirectional	500
chr13	536206	537609	YMR133W	codirectional500	codirectional	500
chr13	553361	554390	YMR144W	headon500	headon	500
chr13	554792	556475	YMR145C	headon500	headon	500
chr13	611015	611255	YMR175W	headon500	headon	500
chr13	611739	615975	YMR176W	codirectional500	codirectional	500
chr13	647117	649280	YMR192W	headon500	headon	500
