geneID	collisiontype	DistanceGroup	genestart	geneend	chr	start	end	width	score	Overlap	sample
YAL066W	codirectional	10000	10090	10399	NA	NA	NA	NA	NA	0	Hmo1
YAL020C	codirectional	10000	113613	114615	chr1	112630	114464	1834	3.11590759040819	851	Hmo1
YAL019W-A	headon	10000	114249	114819	chr1	112630	114464	1834	3.11590759040819	215	Hmo1
YAL019W	headon	10000	114918	118314	chr1	116129	116386	257	2.04828790294792	257	Hmo1
YAL018C	codirectional	10000	118563	119541	chr1	118326	118599	273	2.76364056972158	36	Hmo1
YAL017W	headon	10000	120224	124295	NA	NA	NA	NA	NA	0	Hmo1
YAL016C-A	headon	10000	124754	125069	NA	NA	NA	NA	NA	0	Hmo1
YAL016W	codirectional	10000	124878	126786	NA	NA	NA	NA	NA	0	Hmo1
YAL015C	headon	10000	126902	128102	NA	NA	NA	NA	NA	0	Hmo1
YAL014C	headon	10000	128251	129019	NA	NA	NA	NA	NA	0	Hmo1
YAL013W	codirectional	10000	129269	130487	chr1	129302	130620	1318	4.65668897925689	1185	Hmo1
YAL012W	codirectional	10000	130798	131983	NA	NA	NA	NA	NA	0	Hmo1
YAL011W	codirectional	10000	132198	134076	NA	NA	NA	NA	NA	0	Hmo1
YAL010C	headon	10000	134183	135665	NA	NA	NA	NA	NA	0	Hmo1
YAL008W	headon	10000	136913	137510	NA	NA	NA	NA	NA	0	Hmo1
YAL007C	codirectional	10000	137697	138345	NA	NA	NA	NA	NA	0	Hmo1
YAL005C	codirectional	10000	139502	141431	chr1	141315	142060	745	5.14310939112992	116	Hmo1
YAL004W	headon	10000	140759	141407	chr1	141315	142060	745	5.14310939112992	92	Hmo1
YAL003W	headon	10000	142173	143160	chr1	142715	142903	188	1.96380944963848	188	Hmo1
YAR008W	headon	10000	158965	159793	NA	NA	NA	NA	NA	0	Hmo1
YAR009C	headon	10000	160596	164187	chr1	159801	166702	6901	5.29460812936541	3591	Hmo1
YAR010C	headon	10000	164543	165866	chr1	159801	166702	6901	5.29460812936541	1323	Hmo1
YAR018C	codirectional	10000	170395	171703	NA	NA	NA	NA	NA	0	Hmo1
YAR019C	codirectional	10000	172210	175135	NA	NA	NA	NA	NA	0	Hmo1
YAR019W-A	headon	10000	174997	175330	NA	NA	NA	NA	NA	0	Hmo1
YAR020C	headon	10000	176855	177023	chr1	176517	177697	1180	2.54841670327339	168	Hmo1
YAR023C	headon	10000	179280	179820	NA	NA	NA	NA	NA	0	Hmo1
YAL068C	headon	10000	1806	2169	chr1	0	2690	2690	3.57601052583189	363	Hmo1
YAR027W	codirectional	10000	183769	184477	NA	NA	NA	NA	NA	0	Hmo1
YAR028W	codirectional	10000	184891	185596	NA	NA	NA	NA	NA	0	Hmo1
YAL067W-A	codirectional	10000	2479	2707	chr1	0	2690	2690	3.57601052583189	211	Hmo1
YAL069W	headon	10000	334	649	chr1	0	2690	2690	3.57601052583189	315	Hmo1
YAL068W-A	headon	10000	537	792	chr1	0	2690	2690	3.57601052583189	255	Hmo1
YAL067C	headon	10000	7234	9016	NA	NA	NA	NA	NA	0	Hmo1
YJL170C	headon	10000	101149	101779	NA	NA	NA	NA	NA	0	Hmo1
YJL169W	codirectional	10000	102098	102467	NA	NA	NA	NA	NA	0	Hmo1
YJL168C	headon	10000	102226	104428	NA	NA	NA	NA	NA	0	Hmo1
YJL167W	codirectional	10000	105013	106072	NA	NA	NA	NA	NA	0	Hmo1
YJL166W	codirectional	10000	106433	106718	chr10	106669	106920	251	2.92466045206107	49	Hmo1
YJL165C	headon	10000	106893	109461	chr10	106669	106920	251	2.92466045206107	27	Hmo1
YJL139C	codirectional	10000	151712	152999	NA	NA	NA	NA	NA	0	Hmo1
YJL138C	codirectional	10000	153503	154691	chr10	153578	153691	113	1.96847628936444	113	Hmo1
YJL137C	codirectional	10000	154984	156127	NA	NA	NA	NA	NA	0	Hmo1
YJL136W-A	headon	10000	156168	156252	NA	NA	NA	NA	NA	0	Hmo1
YJL136C	codirectional	10000	156549	157273	chr10	156414	160500	4086	15.6698251042262	724	Hmo1
YJL135W	headon	10000	157876	158194	chr10	156414	160500	4086	15.6698251042262	318	Hmo1
YJL134W	headon	10000	158187	159417	chr10	156414	160500	4086	15.6698251042262	1230	Hmo1
YJL133C-A	codirectional	10000	159622	159847	chr10	156414	160500	4086	15.6698251042262	225	Hmo1
YJL133W	headon	10000	160618	161563	NA	NA	NA	NA	NA	0	Hmo1
YJL132W	codirectional	10000	161913	164166	NA	NA	NA	NA	NA	0	Hmo1
YJL131C	headon	10000	164277	165348	chr10	164367	164532	165	1.9498925546468	165	Hmo1
YJL130C	headon	10000	165722	172367	NA	NA	NA	NA	NA	0	Hmo1
YJL116C	codirectional	10000	193859	194873	NA	NA	NA	NA	NA	0	Hmo1
YJL115W	headon	10000	196286	197126	chr10	195207	196675	1468	10.9346860143531	389	Hmo1
YJL114W	headon	10000	197914	198595	chr10	197345	197966	621	1.98145489563476	52	Hmo1
YJL112W	codirectional	10000	205304	207449	chr10	203431	205559	2128	4.09671368460404	255	Hmo1
YJL111W	codirectional	10000	207876	209529	NA	NA	NA	NA	NA	0	Hmo1
YJL110C	headon	10000	209921	211577	chr10	209923	210211	288	2.97131774133477	288	Hmo1
YJL109C	headon	10000	211999	217309	chr10	215877	215932	55	1.61960806763953	55	Hmo1
YJL108C	codirectional	10000	217704	218856	NA	NA	NA	NA	NA	0	Hmo1
YJL107C	codirectional	10000	218852	220016	NA	NA	NA	NA	NA	0	Hmo1
YJL106W	headon	10000	221389	223327	chr10	222676	222806	130	1.82176999008084	130	Hmo1
YJL105W	headon	10000	225054	226737	NA	NA	NA	NA	NA	0	Hmo1
YJL104W	headon	10000	227326	227776	NA	NA	NA	NA	NA	0	Hmo1
YJL103C	headon	10000	229024	230881	chr10	228159	229067	908	2.03282445285433	43	Hmo1
YJL103C	headon	10000	229024	230881	chr10	230597	230757	160	2.30133639802262	160	Hmo1
YJL102W	codirectional	10000	231300	233760	NA	NA	NA	NA	NA	0	Hmo1
YJL101C	headon	10000	234319	236356	chr10	235653	235689	36	1.57705322041918	36	Hmo1
YJL100W	codirectional	10000	237262	239086	chr10	236613	237467	854	6.80906953847664	205	Hmo1
YJL042W	headon	10000	361248	365445	chr10	360159	361745	1586	8.85214567777722	497	Hmo1
YJL042W	headon	10000	361248	365445	chr10	362076	362115	39	1.45771319257765	39	Hmo1
YJL041W	headon	10000	365783	368373	chr10	367112	367368	256	3.08319045335538	256	Hmo1
YJL039C	codirectional	10000	368747	373799	NA	NA	NA	NA	NA	0	Hmo1
YJL038C	headon	10000	375114	375774	chr10	374171	375372	1201	2.28669716597124	258	Hmo1
YJL037W	codirectional	10000	376661	377336	NA	NA	NA	NA	NA	0	Hmo1
YJL036W	codirectional	10000	378824	380096	chr10	378476	378885	409	2.02898805027772	61	Hmo1
YJL035C	headon	10000	380248	381001	NA	NA	NA	NA	NA	0	Hmo1
YJL034W	codirectional	10000	381326	383375	chr10	382690	382971	281	1.99544899865465	281	Hmo1
YJL033W	codirectional	10000	383836	386149	NA	NA	NA	NA	NA	0	Hmo1
YJL016W	headon	10000	405587	407273	NA	NA	NA	NA	NA	0	Hmo1
YJL015C	codirectional	10000	407141	407426	NA	NA	NA	NA	NA	0	Hmo1
YJL014W	headon	10000	407557	409162	NA	NA	NA	NA	NA	0	Hmo1
YJL013C	codirectional	10000	409492	411040	chr10	409461	409602	141	1.64490061667459	110	Hmo1
YJL012C	codirectional	10000	411233	413399	chr10	411274	411524	250	1.83510689738701	250	Hmo1
YJL011C	codirectional	10000	414284	414770	NA	NA	NA	NA	NA	0	Hmo1
YJL010C	headon	10000	417561	419562	chr10	417610	417861	251	1.86988744838769	251	Hmo1
YJL009W	codirectional	10000	419854	420181	chr10	420004	420135	131	1.60417071150324	131	Hmo1
YJL008C	headon	10000	419956	421663	chr10	420004	420135	131	1.60417071150324	131	Hmo1
YJL007C	headon	10000	422697	423012	chr10	422716	422983	267	2.28740060458701	267	Hmo1
YJL006C	headon	10000	423137	424109	NA	NA	NA	NA	NA	0	Hmo1
YJL005W	codirectional	10000	425156	431237	NA	NA	NA	NA	NA	0	Hmo1
YJL003W	headon	10000	432643	433000	NA	NA	NA	NA	NA	0	Hmo1
YJL002C	codirectional	10000	433220	434651	NA	NA	NA	NA	NA	0	Hmo1
YJL001W	headon	10000	435162	435926	NA	NA	NA	NA	NA	0	Hmo1
YJR001W	headon	10000	436801	438610	NA	NA	NA	NA	NA	0	Hmo1
YJR002W	headon	10000	438864	440646	NA	NA	NA	NA	NA	0	Hmo1
YJR017C	headon	10000	466520	467033	chr10	465199	469786	4587	16.1950288181647	513	Hmo1
YJR018W	codirectional	10000	466785	467148	chr10	465199	469786	4587	16.1950288181647	363	Hmo1
YJR019C	headon	10000	467231	468281	chr10	465199	469786	4587	16.1950288181647	1050	Hmo1
YJR020W	codirectional	10000	468000	468333	chr10	465199	469786	4587	16.1950288181647	333	Hmo1
YJR021C	headon	10000	468554	469579	chr10	465199	469786	4587	16.1950288181647	1025	Hmo1
YJR051W	headon	10000	529860	531366	NA	NA	NA	NA	NA	0	Hmo1
YJR052W	headon	10000	532061	533759	NA	NA	NA	NA	NA	0	Hmo1
YJR053W	headon	10000	534026	535751	NA	NA	NA	NA	NA	0	Hmo1
YJR054W	headon	10000	536055	537549	NA	NA	NA	NA	NA	0	Hmo1
YJR055W	headon	10000	538771	539266	NA	NA	NA	NA	NA	0	Hmo1
YJR056C	headon	10000	541791	542502	NA	NA	NA	NA	NA	0	Hmo1
YJR057W	codirectional	10000	544061	544712	NA	NA	NA	NA	NA	0	Hmo1
YJR058C	headon	10000	544731	545175	NA	NA	NA	NA	NA	0	Hmo1
YJR059W	codirectional	10000	545786	548243	NA	NA	NA	NA	NA	0	Hmo1
YJR060W	codirectional	10000	548758	549814	NA	NA	NA	NA	NA	0	Hmo1
YJL200C	codirectional	10000	56443	58813	NA	NA	NA	NA	NA	0	Hmo1
YJL199C	codirectional	10000	59855	60182	NA	NA	NA	NA	NA	0	Hmo1
YJL198W	headon	10000	60843	63489	NA	NA	NA	NA	NA	0	Hmo1
YJR103W	codirectional	10000	620753	622490	chr10	622323	624188	1865	12.8459031964867	167	Hmo1
YJR104C	headon	10000	622549	623014	chr10	622323	624188	1865	12.8459031964867	465	Hmo1
YJL197W	headon	10000	63804	67569	chr10	67558	67754	196	2.42039183836925	11	Hmo1
YJL197C-A	codirectional	10000	65804	66086	NA	NA	NA	NA	NA	0	Hmo1
YJR133W	headon	10000	672990	673620	NA	NA	NA	NA	NA	0	Hmo1
YJR134C	codirectional	10000	673728	675852	NA	NA	NA	NA	NA	0	Hmo1
YJR135C	codirectional	10000	676058	676778	NA	NA	NA	NA	NA	0	Hmo1
YJR135W-A	headon	10000	676970	677234	NA	NA	NA	NA	NA	0	Hmo1
YJR136C	codirectional	10000	677440	678706	chr10	677545	677620	75	1.50588061761496	75	Hmo1
YJL196C	headon	10000	67849	68782	chr10	68702	69286	584	2.74479097111747	80	Hmo1
YJR137C	codirectional	10000	678956	683285	NA	NA	NA	NA	NA	0	Hmo1
YJR138W	codirectional	10000	684566	689321	chr10	684251	684703	452	3.09675433927127	137	Hmo1
YJR138W	codirectional	10000	684566	689321	chr10	686589	686629	40	1.46931706291352	40	Hmo1
YJR139C	headon	10000	689444	690524	NA	NA	NA	NA	NA	0	Hmo1
YJR140C	headon	10000	690749	695696	chr10	692695	692981	286	2.79287131819457	286	Hmo1
YJR140C	headon	10000	690749	695696	chr10	693324	693369	45	1.4856302446452	45	Hmo1
YJR140W-A	codirectional	10000	690960	691110	NA	NA	NA	NA	NA	0	Hmo1
YJL195C	headon	10000	69240	69942	chr10	68702	69286	584	2.74479097111747	46	Hmo1
YJL194W	codirectional	10000	69337	70879	NA	NA	NA	NA	NA	0	Hmo1
YJL193W	codirectional	10000	71365	72574	chr10	71303	71426	123	1.44579541661452	61	Hmo1
YJL192C	headon	10000	72709	73414	NA	NA	NA	NA	NA	0	Hmo1
YJL191W	codirectional	10000	73786	74611	chr10	73510	76860	3350	16.1810801422797	825	Hmo1
YJL190C	headon	10000	74909	75302	chr10	73510	76860	3350	16.1810801422797	393	Hmo1
YJL189W	codirectional	10000	75932	76474	chr10	73510	76860	3350	16.1810801422797	542	Hmo1
YJL188C	headon	10000	76201	76510	chr10	73510	76860	3350	16.1810801422797	309	Hmo1
YJL187C	headon	10000	76802	79262	chr10	73510	76860	3350	16.1810801422797	58	Hmo1
YJL187C	headon	10000	76802	79262	chr10	78224	78324	100	1.56231575276257	100	Hmo1
YJL178C	codirectional	10000	89281	90097	chr10	89535	91830	2295	16.6772892322394	562	Hmo1
YJL177W	headon	10000	90785	91657	chr10	89535	91830	2295	16.6772892322394	872	Hmo1
YJL176C	codirectional	10000	92052	94530	NA	NA	NA	NA	NA	0	Hmo1
YJL175W	headon	10000	94048	94561	NA	NA	NA	NA	NA	0	Hmo1
YJL174W	headon	10000	95091	95922	NA	NA	NA	NA	NA	0	Hmo1
YJL173C	codirectional	10000	96160	96529	NA	NA	NA	NA	NA	0	Hmo1
YJL172W	headon	10000	97736	99467	NA	NA	NA	NA	NA	0	Hmo1
YJL171C	headon	10000	99703	100894	NA	NA	NA	NA	NA	0	Hmo1
YKL182W	codirectional	10000	100670	106826	chr11	102781	103541	760	1.6360885417794	760	Hmo1
